state,metric,rank_29th,rank_30th,rank_change,movement
Michigan,other_fatalities_per_100m_vmt_score,21,NA,NA,missing
Minnesota,other_fatalities_per_100m_vmt_score,6,NA,NA,missing
Mississippi,other_fatalities_per_100m_vmt_score,47,NA,NA,missing
Missouri,other_fatalities_per_100m_vmt_score,16,NA,NA,missing
Montana,other_fatalities_per_100m_vmt_score,32,NA,NA,missing
Nebraska,other_fatalities_per_100m_vmt_score,18,NA,NA,missing
Nevada,other_fatalities_per_100m_vmt_score,29,NA,NA,missing
New Hampshire,other_fatalities_per_100m_vmt_score,17,NA,NA,missing
New Jersey,other_fatalities_per_100m_vmt_score,4,NA,NA,missing
New Mexico,other_fatalities_per_100m_vmt_score,22,NA,NA,missing
New York,other_fatalities_per_100m_vmt_score,9,NA,NA,missing
North Carolina,other_fatalities_per_100m_vmt_score,33,NA,NA,missing
North Dakota,other_fatalities_per_100m_vmt_score,12,NA,NA,missing
Ohio,other_fatalities_per_100m_vmt_score,27,NA,NA,missing
Oklahoma,other_fatalities_per_100m_vmt_score,45,NA,NA,missing
Oregon,other_fatalities_per_100m_vmt_score,41,NA,NA,missing
Pennsylvania,other_fatalities_per_100m_vmt_score,36,NA,NA,missing
Rhode Island,other_fatalities_per_100m_vmt_score,15,NA,NA,missing
South Carolina,other_fatalities_per_100m_vmt_score,46,NA,NA,missing
South Dakota,other_fatalities_per_100m_vmt_score,44,NA,NA,missing
Tennessee,other_fatalities_per_100m_vmt_score,42,NA,NA,missing
Texas,other_fatalities_per_100m_vmt_score,43,NA,NA,missing
Utah,other_fatalities_per_100m_vmt_score,3,NA,NA,missing
Vermont,other_fatalities_per_100m_vmt_score,10,NA,NA,missing
Virginia,other_fatalities_per_100m_vmt_score,26,NA,NA,missing
Washington,other_fatalities_per_100m_vmt_score,38,NA,NA,missing
West Virginia,other_fatalities_per_100m_vmt_score,49,NA,NA,missing
Wisconsin,other_fatalities_per_100m_vmt_score,7,NA,NA,missing
Wyoming,other_fatalities_per_100m_vmt_score,8,NA,NA,missing
Oregon,overall_score,33,20,-13,moved up
Florida,overall_score,14,4,-10,moved up
Kentucky,overall_score,15,6,-9,moved up
Arkansas,overall_score,21,13,-8,moved up
Mississippi,overall_score,24,17,-7,moved up
Alabama,overall_score,8,2,-6,moved up
Idaho,overall_score,26,22,-4,moved up
Montana,overall_score,22,18,-4,moved up
Nebraska,overall_score,29,25,-4,moved up
Nevada,overall_score,25,21,-4,moved up
Wyoming,overall_score,20,16,-4,moved up
New Mexico,overall_score,39,36,-3,moved up
Oklahoma,overall_score,45,42,-3,moved up
Rhode Island,overall_score,43,40,-3,moved up
Arizona,overall_score,41,39,-2,moved up
Delaware,overall_score,32,30,-2,moved up
Iowa,overall_score,35,33,-2,moved up
Louisiana,overall_score,46,44,-2,moved up
South Carolina,overall_score,3,1,-2,moved up
Utah,overall_score,10,8,-2,moved up
California,overall_score,49,48,-1,moved up
Pennsylvania,overall_score,36,35,-1,moved up
South Dakota,overall_score,28,27,-1,moved up
Tennessee,overall_score,12,11,-1,moved up
Texas,overall_score,27,26,-1,moved up
West Virginia,overall_score,30,29,-1,moved up
Alaska,overall_score,50,50,0,no change
Illinois,overall_score,37,37,0,no change
Michigan,overall_score,23,23,0,no change
New York,overall_score,47,47,0,no change
Georgia,overall_score,2,3,1,moved down
New Jersey,overall_score,40,41,1,moved down
North Carolina,overall_score,4,5,1,moved down
North Dakota,overall_score,6,7,1,moved down
Washington,overall_score,48,49,1,moved down
Hawaii,overall_score,44,46,2,moved down
New Hampshire,overall_score,13,15,2,moved down
Colorado,overall_score,42,45,3,moved down
Wisconsin,overall_score,31,34,3,moved down
Maryland,overall_score,34,38,4,moved down
Ohio,overall_score,5,9,4,moved down
Connecticut,overall_score,7,12,5,moved down
Missouri,overall_score,9,14,5,moved down
Vermont,overall_score,38,43,5,moved down
Maine,overall_score,16,24,8,moved down
Minnesota,overall_score,11,19,8,moved down
Virginia,overall_score,1,10,9,moved down
Indiana,overall_score,18,28,10,moved down
Kansas,overall_score,19,31,12,moved down
Massachusetts,overall_score,17,32,15,moved down
New Mexico,poor_bridges_percent_score,17,13,-4,moved up
Florida,poor_bridges_percent_score,9,6,-3,moved up
Connecticut,poor_bridges_percent_score,18,16,-2,moved up
New Jersey,poor_bridges_percent_score,27,25,-2,moved up
North Carolina,poor_bridges_percent_score,33,31,-2,moved up
Alaska,poor_bridges_percent_score,37,36,-1,moved up
California,poor_bridges_percent_score,25,24,-1,moved up
Illinois,poor_bridges_percent_score,41,40,-1,moved up
Indiana,poor_bridges_percent_score,21,20,-1,moved up
Missouri,poor_bridges_percent_score,40,39,-1,moved up
Nevada,poor_bridges_percent_score,2,1,-1,moved up
Oklahoma,poor_bridges_percent_score,36,35,-1,moved up
Rhode Island,poor_bridges_percent_score,47,46,-1,moved up
Tennessee,poor_bridges_percent_score,12,11,-1,moved up
West Virginia,poor_bridges_percent_score,50,49,-1,moved up
Arkansas,poor_bridges_percent_score,22,22,0,no change
Delaware,poor_bridges_percent_score,4,4,0,no change
Georgia,poor_bridges_percent_score,5,5,0,no change
Hawaii,poor_bridges_percent_score,30,30,0,no change
Idaho,poor_bridges_percent_score,19,19,0,no change
Louisiana,poor_bridges_percent_score,44,44,0,no change
Massachusetts,poor_bridges_percent_score,38,38,0,no change
Michigan,poor_bridges_percent_score,43,43,0,no change
Mississippi,poor_bridges_percent_score,26,26,0,no change
New Hampshire,poor_bridges_percent_score,34,34,0,no change
North Dakota,poor_bridges_percent_score,42,42,0,no change
Oregon,poor_bridges_percent_score,15,15,0,no change
Pennsylvania,poor_bridges_percent_score,45,45,0,no change
South Dakota,poor_bridges_percent_score,48,48,0,no change
Texas,poor_bridges_percent_score,3,3,0,no change
Vermont,poor_bridges_percent_score,7,7,0,no change
Virginia,poor_bridges_percent_score,10,10,0,no change
Washington,poor_bridges_percent_score,23,23,0,no change
Wisconsin,poor_bridges_percent_score,29,29,0,no change
Wyoming,poor_bridges_percent_score,28,28,0,no change
Alabama,poor_bridges_percent_score,8,9,1,moved down
Arizona,poor_bridges_percent_score,1,2,1,moved down
Iowa,poor_bridges_percent_score,49,50,1,moved down
Kansas,poor_bridges_percent_score,20,21,1,moved down
Kentucky,poor_bridges_percent_score,32,33,1,moved down
Maine,poor_bridges_percent_score,46,47,1,moved down
Maryland,poor_bridges_percent_score,13,14,1,moved down
Minnesota,poor_bridges_percent_score,11,12,1,moved down
Montana,poor_bridges_percent_score,31,32,1,moved down
Colorado,poor_bridges_percent_score,16,18,2,moved down
Nebraska,poor_bridges_percent_score,35,37,2,moved down
New York,poor_bridges_percent_score,39,41,2,moved down
Utah,poor_bridges_percent_score,6,8,2,moved down
Ohio,poor_bridges_percent_score,14,17,3,moved down
South Carolina,poor_bridges_percent_score,24,27,3,moved down
Alabama,rural_fatalities_per_100m_vmt_score,44,NA,NA,missing
Alaska,rural_fatalities_per_100m_vmt_score,50,NA,NA,missing
Arizona,rural_fatalities_per_100m_vmt_score,39,NA,NA,missing
Arkansas,rural_fatalities_per_100m_vmt_score,45,NA,NA,missing
California,rural_fatalities_per_100m_vmt_score,36,NA,NA,missing
Colorado,rural_fatalities_per_100m_vmt_score,33,NA,NA,missing
Connecticut,rural_fatalities_per_100m_vmt_score,18,NA,NA,missing
Delaware,rural_fatalities_per_100m_vmt_score,41,NA,NA,missing
Florida,rural_fatalities_per_100m_vmt_score,32,NA,NA,missing
Georgia,rural_fatalities_per_100m_vmt_score,23,NA,NA,missing
Hawaii,rural_fatalities_per_100m_vmt_score,48,NA,NA,missing
Idaho,rural_fatalities_per_100m_vmt_score,35,NA,NA,missing
Illinois,rural_fatalities_per_100m_vmt_score,25,NA,NA,missing
Indiana,rural_fatalities_per_100m_vmt_score,27,NA,NA,missing
Iowa,rural_fatalities_per_100m_vmt_score,17,NA,NA,missing
Kansas,rural_fatalities_per_100m_vmt_score,28,NA,NA,missing
Kentucky,rural_fatalities_per_100m_vmt_score,11,NA,NA,missing
Louisiana,rural_fatalities_per_100m_vmt_score,21,NA,NA,missing
Maine,rural_fatalities_per_100m_vmt_score,3,NA,NA,missing
